===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2018-03-18 18:00:17
count workspace : e:\Projects\EdForge\ISP_Tutor\EFTutorEngineOne
total files : 454
total code lines : 46813
total comment lines : 24252
total blank lines : 14082

.gitignore, code is 1, comment is 3, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZSceneNavigator.as, code is 121, comment is 69, blank is 45.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZSceneSequence.as, code is 372, comment is 208, blank is 196.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZState.as, code is 35, comment is 43, blank is 17.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZStateEngine.as, code is 29, comment is 42, blank is 13.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZStateGraph.as, code is 31, comment is 42, blank is 15.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextColorTag.as, code is 38, comment is 32, blank is 9.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextColorVector.as, code is 36, comment is 40, blank is 13.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextControl.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextField.as, code is 271, comment is 99, blank is 133.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextFontTag.as, code is 73, comment is 32, blank is 23.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextFontType.as, code is 10, comment is 31, blank is 4.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextFontVector.as, code is 44, comment is 40, blank is 15.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextFormat.as, code is 127, comment is 44, blank is 53.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextObject.as, code is 19, comment is 33, blank is 8.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextOverlay.as, code is 125, comment is 45, blank is 58.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextProperty.as, code is 40, comment is 31, blank is 7.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextPropTag.as, code is 90, comment is 32, blank is 24.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextPropType.as, code is 13, comment is 31, blank is 5.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTextPropVector.as, code is 36, comment is 40, blank is 13.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTimerProxy.as, code is 121, comment is 78, blank is 43.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTimeStamp.as, code is 46, comment is 36, blank is 26.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTitleBar.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTransitions.as, code is 269, comment is 210, blank is 109.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTutor.as, code is 98, comment is 70, blank is 54.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTutorDoc.as, code is 161, comment is 98, blank is 87.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZTutorRoot.as, code is 651, comment is 370, blank is 332.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZUserFeedBack.as, code is 80, comment is 47, blank is 49.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZxmlTextField.as, code is 158, comment is 82, blank is 71.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\dialogs\CDialogDesignPrompt1.as, code is 40, comment is 49, blank is 20.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\dialogs\CDialogInitServer.as, code is 111, comment is 85, blank is 47.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\dialogs\CDialogProgress.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\dialogs\CDialogRegistration.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\e4x\parser.as, code is 87, comment is 19, blank is 25.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\e4x\stringUtil.as, code is 41, comment is 32, blank is 8.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CSpellEvent.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZActionEvent.as, code is 37, comment is 32, blank is 9.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZAutomationEvent.as, code is 23, comment is 34, blank is 10.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZButtonEvent.as, code is 23, comment is 34, blank is 10.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZCaptionEvent.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZCommandEvent.as, code is 23, comment is 34, blank is 10.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZDialogEvent.as, code is 25, comment is 34, blank is 10.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZEvent.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZMouseEvent.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZNavEvent.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZPropertyChangeEvent.as, code is 49, comment is 198, blank is 27.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZPropertyChangeEventKind.as, code is 9, comment is 42, blank is 6.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZSceneCueEvent.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZScriptEvent.as, code is 22, comment is 32, blank is 9.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZSeekEvent.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZSelectEvent.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\events\CWOZTextEvent.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\kt\CWOZBNode.as, code is 63, comment is 49, blank is 26.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\kt\CWOZKTNode.as, code is 64, comment is 51, blank is 26.
